,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,4:05PM ET,boxscore,W,,Jan-00,@,Cincinnati Bengals,16,13,19,362,207,155,,19,295,173,122,2,-2.07,8.27,-3.54
2,Sun,20-Sep,4:25PM ET,boxscore,L,OT,1-Jan,,Kansas City Chiefs,20,23,28,479,296,183,1,23,414,289,125,,13.33,-10.92,-3.8
3,Sun,27-Sep,4:05PM ET,boxscore,L,,2-Jan,,Carolina Panthers,16,21,26,436,319,117,4,14,302,221,81,,-5.44,-1.18,0.62
4,Sun,4-Oct,1:00PM ET,boxscore,L,,3-Jan,@,Tampa Bay Buccaneers,31,38,15,324,278,46,2,28,484,369,115,1,5.88,-12.95,-0.2
5,Mon,12-Oct,8:15PM ET,boxscore,L,OT,4-Jan,@,New Orleans Saints,27,30,19,350,239,111,,23,408,313,95,1,6.8,-3.09,-7.44
6,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
7,Sun,25-Oct,4:25PM ET,boxscore,W,,4-Feb,,Jacksonville Jaguars,39,29,29,484,349,135,,15,294,154,140,1,20.27,2.3,-8.03
8,Sun,1-Nov,4:05PM ET,boxscore,L,,5-Feb,@,Denver Broncos,30,31,28,485,275,210,2,17,351,243,108,1,9.03,-8.64,-1.18
9,Sun,8-Nov,4:05PM ET,boxscore,L,,6-Feb,,Las Vegas Raiders,26,31,26,440,312,128,1,16,320,160,160,1,17.58,-11.13,-10.69
10,Sun,15-Nov,4:05PM ET,boxscore,L,,7-Feb,@,Miami Dolphins,21,29,19,273,174,99,1,17,280,169,111,1,-1.88,7.96,-14.67
11,Sun,22-Nov,4:05PM ET,boxscore,W,,7-Mar,,New York Jets,34,28,28,376,347,29,1,20,292,196,96,1,16.66,-7.52,-3.42
12,Sun,29-Nov,1:00PM ET,boxscore,L,,8-Mar,@,Buffalo Bills,17,27,24,367,291,76,1,23,332,160,172,3,4.93,-5.65,-4.65
13,Sun,6-Dec,4:25PM ET,boxscore,L,,9-Mar,,New England Patriots,0,45,17,258,188,70,2,22,291,126,165,,-16.13,-9.66,-22.19
14,Sun,13-Dec,4:25PM ET,boxscore,W,,9-Apr,,Atlanta Falcons,20,17,23,345,240,105,1,19,319,249,70,3,10.14,-5.82,-1.54
15,Thu,17-Dec,8:20PM ET,boxscore,W,OT,9-May,@,Las Vegas Raiders,30,27,27,402,306,96,,27,449,276,173,1,23.38,-16.83,-4.42
16,Sun,27-Dec,4:05PM ET,boxscore,W,,9-Jun,,Denver Broncos,19,16,16,316,227,89,,23,396,263,133,2,1.63,-4.25,4.44
17,Sun,3-Jan,4:25PM ET,boxscore,W,,9-Jul,@,Kansas City Chiefs,38,21,29,416,281,135,,18,268,217,51,1,25.49,-10.71,3.07
