,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,4:05PM ET,boxscore,L,,0-1,,Los Angeles Chargers,13,16,19,295,173,122,2,19,362,207,155,,-8.27,2.07,3.54
2,Thu,17-Sep,8:20PM ET,boxscore,L,,0-2,@,Cleveland Browns,30,35,30,353,285,68,1,23,434,219,215,1,11.19,-19.62,1.79
3,Sun,27-Sep,1:00PM ET,boxscore,T,OT,0-2-1,@,Philadelphia Eagles,23,23,24,304,256,48,,27,378,206,172,2,-0.48,-1.65,1.44
4,Sun,4-Oct,1:00PM ET,boxscore,W,,1/2/01,,Jacksonville Jaguars,33,25,28,505,300,205,1,25,429,340,89,1,19.25,-13.22,4.81
5,Sun,11-Oct,1:00PM ET,boxscore,L,,1/3/01,@,Baltimore Ravens,3,27,12,205,135,70,3,17,332,171,161,1,-28.69,-2.28,3.99
6,Sun,18-Oct,1:00PM ET,boxscore,L,,1/4/01,@,Indianapolis Colts,27,31,22,398,300,98,1,23,430,371,59,2,12.35,-16,-0.22
7,Sun,25-Oct,1:00PM ET,boxscore,L,,1/5/01,,Cleveland Browns,34,37,31,468,387,81,2,23,398,316,82,1,22.02,-25.11,1.35
8,Sun,1-Nov,1:00PM ET,boxscore,W,,2/5/01,,Tennessee Titans,31,20,27,367,249,118,,27,441,223,218,1,23.57,-19.91,5.56
9,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
10,Sun,15-Nov,4:25PM ET,boxscore,L,,2/6/01,@,Pittsburgh Steelers,10,36,16,324,185,139,2,22,377,333,44,,-10.97,-7.92,0.05
11,Sun,22-Nov,1:00PM ET,boxscore,L,,2/7/01,@,Washington Football Team,9,20,18,272,202,70,2,20,325,161,164,1,-11.45,0.93,0.86
12,Sun,29-Nov,1:00PM ET,boxscore,L,,2/8/01,,New York Giants,17,19,11,155,115,40,3,19,386,244,142,1,-18.51,2.23,12.92
13,Sun,6-Dec,1:00PM ET,boxscore,L,,2/9/01,@,Miami Dolphins,7,19,12,196,156,40,2,23,406,296,110,1,-7.2,-5.94,1.67
14,Sun,13-Dec,1:00PM ET,boxscore,L,,2/10/01,,Dallas Cowboys,7,30,18,309,208,101,3,16,272,171,101,,-14.89,-8.06,-0.7
15,Mon,21-Dec,8:15PM ET,boxscore,W,,3/10/01,,Pittsburgh Steelers,27,17,13,230,78,152,,12,244,158,86,3,-3.71,17.2,-4.31
16,Sun,27-Dec,1:00PM ET,boxscore,W,,4/10/01,@,Houston Texans,37,31,27,540,371,169,,23,488,322,166,1,25.27,-20.31,-2.34
17,Sun,3-Jan,1:00PM ET,boxscore,L,,4/11/01,,Baltimore Ravens,3,38,10,195,48,147,2,24,525,121,404,1,-14.61,-24.61,7.13
