,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,8:20PM ET,boxscore,L,,0-1,@,Los Angeles Rams,17,20,24,380,244,136,,23,422,269,153,1,3.18,-12.62,1.54
2,Sun,20-Sep,1:00PM ET,boxscore,W,,1-Jan,,Atlanta Falcons,40,39,33,570,445,125,3,22,380,267,113,,17.31,-13.66,-1.38
3,Sun,27-Sep,4:25PM ET,boxscore,L,,2-Jan,@,Seattle Seahawks,31,38,27,522,461,61,3,23,412,295,117,1,9.84,-11.85,-4.6
4,Sun,4-Oct,1:00PM ET,boxscore,L,,3-Jan,,Cleveland Browns,38,49,35,566,481,85,3,33,508,201,307,,19.85,-29.43,-1.81
5,Sun,11-Oct,4:25PM ET,boxscore,W,,3-Feb,,New York Giants,37,34,28,402,276,126,2,20,300,211,89,1,11.9,0.61,-7.75
6,Mon,19-Oct,8:15PM ET,boxscore,L,,4-Feb,,Arizona Cardinals,10,38,27,344,247,97,4,22,438,177,261,,-3.91,-23.56,0.53
7,Sun,25-Oct,1:00PM ET,boxscore,L,,5-Feb,@,Washington Football Team,3,25,12,142,59,83,1,21,397,189,208,,-14.88,-15.64,10.05
8,Sun,1-Nov,8:20PM ET,boxscore,L,,6-Feb,@,Philadelphia Eagles,9,23,21,265,132,133,2,18,222,103,119,4,-21.74,11.99,1.73
9,Sun,8-Nov,4:25PM ET,boxscore,L,,7-Feb,,Pittsburgh Steelers,19,24,19,364,220,144,2,20,355,309,46,,-3.09,-4.51,5.6
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,22-Nov,4:25PM ET,boxscore,W,,7-Mar,@,Minnesota Vikings,31,28,24,376,196,180,1,24,430,305,125,2,15.61,-9,-2.73
12,Thu,26-Nov,4:30PM ET,boxscore,L,,8-Mar,,Washington Football Team,16,41,13,247,187,60,2,22,338,156,182,1,-17.92,-8.38,-1.4
13,Tue,8-Dec,8:05PM ET,boxscore,L,,9-Mar,@,Baltimore Ravens,17,34,29,388,277,111,1,19,401,107,294,1,10.45,-19.5,-3.43
14,Sun,13-Dec,1:00PM ET,boxscore,W,,9-Apr,@,Cincinnati Bengals,30,7,16,272,171,101,,18,309,208,101,3,8.06,14.89,0.7
15,Sun,20-Dec,1:00PM ET,boxscore,W,,9-May,,San Francisco 49ers,41,33,15,291,204,87,,28,458,308,150,4,4.47,-11.28,12.91
16,Sun,27-Dec,4:25PM ET,boxscore,W,,9-Jun,,Philadelphia Eagles,37,17,22,513,362,151,1,24,477,326,151,3,23.4,-5.42,-0.38
17,Sun,3-Jan,1:00PM ET,boxscore,L,,10-Jun,@,New York Giants,19,23,26,307,199,108,1,22,336,211,125,2,-3.56,-4.34,4.88
