,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Thu,6-Sep,8:20PM ET,boxscore,L,,0-1,@,Philadelphia Eagles,12,18,16,299,225,74,1,18,232,119,113,2,-7.26,3.11,2.58
2,Sun,16-Sep,1:00PM ET,boxscore,W,,1-Jan,,Carolina Panthers,31,24,23,442,272,170,1,27,439,318,121,1,22.04,-12.68,-4.66
3,Sun,23-Sep,1:00PM ET,boxscore,L,OT,2-Jan,,New Orleans Saints,37,43,24,407,359,48,,32,534,391,143,,20.31,-26.85,0.47
4,Sun,30-Sep,1:00PM ET,boxscore,L,,3-Jan,,Cincinnati Bengals,36,37,25,495,403,92,,30,407,308,99,1,24.63,-22.54,1.75
5,Sun,7-Oct,1:00PM ET,boxscore,L,,4-Jan,@,Pittsburgh Steelers,17,41,22,324,262,62,1,22,381,250,131,1,-1.13,-20.96,-0.44
6,Sun,14-Oct,1:00PM ET,boxscore,W,,4-Feb,,Tampa Bay Buccaneers,34,29,26,417,347,70,,30,510,389,121,2,21.03,-22.99,2.24
7,Mon,22-Oct,8:15PM ET,boxscore,W,,4-Mar,,New York Giants,23,20,22,423,356,67,1,21,433,372,61,,12.04,-12.61,2.1
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,4-Nov,1:00PM ET,boxscore,W,,4-Apr,@,Washington Redskins,38,14,25,491,337,154,1,20,366,287,79,1,30.07,-6.19,-4.39
10,Sun,11-Nov,1:00PM ET,boxscore,L,,5-Apr,@,Cleveland Browns,16,28,25,382,311,71,2,19,427,216,211,1,1.81,-15.47,0.18
11,Sun,18-Nov,1:00PM ET,boxscore,L,,6-Apr,,Dallas Cowboys,19,22,19,354,274,80,1,20,323,191,132,,5.2,-10.89,0.89
12,Thu,22-Nov,8:20PM ET,boxscore,L,,7-Apr,@,New Orleans Saints,17,31,21,366,340,26,4,19,312,162,150,1,-2.35,-11.04,0.37
13,Sun,2-Dec,1:00PM ET,boxscore,L,,8-Apr,,Baltimore Ravens,16,26,16,131,97,34,1,25,366,159,207,1,-13.31,1.63,1.11
14,Sun,9-Dec,1:00PM ET,boxscore,L,,9-Apr,@,Green Bay Packers,20,34,22,344,237,107,2,23,300,162,138,,1.55,-11.83,0.57
15,Sun,16-Dec,1:00PM ET,boxscore,W,,9-May,,Arizona Cardinals,40,14,23,435,220,215,,18,253,193,60,3,15.22,16.06,-7.62
16,Sun,23-Dec,1:00PM ET,boxscore,W,,9-Jun,@,Carolina Panthers,24,10,16,427,233,194,2,29,436,295,141,4,9.76,10.77,-2.58
17,Sun,30-Dec,1:00PM ET,boxscore,W,,9-Jul,@,Tampa Bay Buccaneers,34,32,27,489,380,109,1,22,433,341,92,1,14.62,-14.51,-0.09
