,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,1:00PM ET,boxscore,L,,0-1,@,Jacksonville Jaguars,20,27,27,445,357,88,2,17,241,150,91,,9.78,-9.78,-7.99
2,Sun,20-Sep,1:00PM ET,boxscore,W,,1-Jan,,Minnesota Vikings,28,11,24,354,203,151,1,12,175,95,80,3,5.63,9.97,4.52
3,Sun,27-Sep,4:05PM ET,boxscore,W,,1-Feb,,New York Jets,36,7,21,353,234,119,,15,260,151,109,3,11.02,22.25,-0.99
4,Sun,4-Oct,1:00PM ET,boxscore,W,,1-Mar,@,Chicago Bears,19,11,18,289,186,103,,16,269,241,28,1,2.28,1.13,7.13
5,Sun,11-Oct,4:25PM ET,boxscore,L,,2-Mar,@,Cleveland Browns,23,32,15,308,240,68,2,22,385,261,124,2,-2.46,-9.88,4.93
6,Sun,18-Oct,1:00PM ET,boxscore,W,,2-Apr,,Cincinnati Bengals,31,27,23,430,371,59,2,22,398,300,98,1,16,-12.35,0.22
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,1-Nov,1:00PM ET,boxscore,W,,2-May,@,Detroit Lions,41,21,26,366,247,119,,20,326,297,29,2,21.92,3.03,-6.52
9,Sun,8-Nov,1:00PM ET,boxscore,L,,3-May,,Baltimore Ravens,10,24,20,339,227,112,2,19,266,156,110,1,-13.1,0.58,1.45
10,Thu,12-Nov,8:20PM ET,boxscore,W,,3-Jun,@,Tennessee Titans,34,17,26,430,297,133,,25,294,137,157,,17.58,-9.37,6.81
11,Sun,22-Nov,4:25PM ET,boxscore,W,OT,3-Jul,,Green Bay Packers,34,31,23,420,280,140,2,21,367,301,66,4,4.31,-6.48,4.3
12,Sun,29-Nov,1:00PM ET,boxscore,L,,4-Jul,,Tennessee Titans,26,45,27,336,280,56,1,28,449,220,229,,6.68,-23.98,-6.58
13,Sun,6-Dec,1:00PM ET,boxscore,W,,4-Aug,@,Houston Texans,26,20,25,371,262,109,,20,398,308,90,2,8.59,-5.59,1.28
14,Sun,13-Dec,4:05PM ET,boxscore,W,,4-Sep,@,Las Vegas Raiders,44,27,25,456,244,212,,26,424,345,79,3,30.23,-9.54,-4.58
15,Sun,20-Dec,1:00PM ET,boxscore,W,,4-Oct,,Houston Texans,27,20,20,350,223,127,,22,425,342,83,2,16.23,-12.04,1.35
16,Sun,27-Dec,1:00PM ET,boxscore,L,,5-Oct,@,Pittsburgh Steelers,24,28,21,365,238,127,2,26,354,332,22,,0.99,-8.37,2.01
17,Sun,3-Jan,4:25PM ET,boxscore,W,,5-Nov,,Jacksonville Jaguars,28,14,23,437,164,273,1,18,283,230,53,1,14.26,10.79,-8.77
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sat,9-Jan,1:05PM ET,boxscore,L,,6-Nov,@,Buffalo Bills,24,27,27,472,309,163,,22,397,301,96,,18.47,-15.99,-4.83
