,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,13-Sep,1:00PM ET,boxscore,W,,Jan-00,@,Minnesota Vikings,43,34,31,522,364,158,,25,382,248,134,1,28.03,-19.11,3.78
2,Sun,20-Sep,1:00PM ET,boxscore,W,,Feb-00,,Detroit Lions,42,21,26,488,229,259,,19,307,218,89,1,26.08,-2.93,-2.86
3,Sun,27-Sep,8:20PM ET,boxscore,W,,Mar-00,@,New Orleans Saints,37,30,24,369,271,98,,21,397,275,122,1,19.67,-14.59,5.23
4,Mon,5-Oct,8:15PM ET,boxscore,W,,Apr-00,,Atlanta Falcons,30,16,22,403,315,88,,24,327,249,78,,19.46,-5.57,0.14
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,18-Oct,4:25PM ET,boxscore,L,,1-Apr,@,Tampa Bay Buccaneers,10,38,13,201,107,94,2,21,324,166,158,,-21.73,-15.29,4.79
7,Sun,25-Oct,1:00PM ET,boxscore,W,,1-May,@,Houston Texans,35,20,22,379,283,96,,20,365,286,79,1,20.19,-1.7,-4.25
8,Sun,1-Nov,1:00PM ET,boxscore,L,,2-May,,Minnesota Vikings,22,28,24,400,291,109,1,20,324,151,173,,13.95,-20.77,1.23
9,Thu,5-Nov,8:20PM ET,boxscore,W,,2-Jun,@,San Francisco 49ers,34,17,21,405,294,111,,17,337,282,55,2,19.59,-0.24,-3.72
10,Sun,15-Nov,1:00PM ET,boxscore,W,,2-Jul,,Jacksonville Jaguars,24,20,16,395,315,80,2,16,260,151,109,1,1.82,10.89,-8.95
11,Sun,22-Nov,4:25PM ET,boxscore,L,OT,3-Jul,@,Indianapolis Colts,31,34,21,367,301,66,4,23,420,280,140,2,6.48,-4.31,-4.3
12,Sun,29-Nov,8:20PM ET,boxscore,W,,3-Aug,,Chicago Bears,41,25,28,393,211,182,,26,350,229,121,3,27.57,-6.85,0.48
13,Sun,6-Dec,4:25PM ET,boxscore,W,,3-Sep,,Philadelphia Eagles,30,16,20,437,288,149,,17,278,161,117,1,19.58,2.33,-8.04
14,Sun,13-Dec,4:25PM ET,boxscore,W,,3-Oct,@,Detroit Lions,31,24,26,410,290,120,,27,293,242,51,,23.25,-13.36,-0.61
15,Sat,19-Dec,8:15PM ET,boxscore,W,,3-Nov,,Carolina Panthers,24,16,20,291,96,195,,20,364,249,115,1,6.96,1,4.27
16,Sun,27-Dec,8:20PM ET,boxscore,W,,3-Dec,,Tennessee Titans,40,14,27,448,214,234,1,15,260,104,156,2,25.88,3.08,-4.92
17,Sun,3-Jan,4:25PM ET,boxscore,W,,13-3,@,Chicago Bears,35,16,17,316,237,79,1,21,356,248,108,2,22.83,-4.91,-3.56
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sat,16-Jan,4:35PM ET,boxscore,W,,14-3,,Los Angeles Rams,32,18,28,484,296,188,,17,244,148,96,,23.74,-2.94,-5.23
Conf. Champ.,Sun,24-Jan,3:05PM ET,boxscore,L,,14-4,,Tampa Bay Buccaneers,26,31,23,381,314,67,2,19,351,275,76,3,7.4,-14.4,-0.17
