,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Mon,14-Sep,10:10PM ET,boxscore,W,,Jan-00,@,Denver Broncos,16,14,26,377,247,130,,19,323,216,107,1,12.3,-3.03,-11.9
2,Sun,20-Sep,1:00PM ET,boxscore,W,,Feb-00,,Jacksonville Jaguars,33,30,23,354,231,123,,30,480,315,165,2,21.12,-18.68,3.05
3,Sun,27-Sep,1:00PM ET,boxscore,W,,Mar-00,@,Minnesota Vikings,31,30,23,444,310,134,1,22,464,238,226,3,3.79,-10.21,7.95
4,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
5,Tue,13-Oct,7:00PM ET,boxscore,W,,Apr-00,,Buffalo Bills,42,16,25,334,195,139,,23,370,275,95,3,24.29,-1.55,0.82
6,Sun,18-Oct,1:00PM ET,boxscore,W,OT,May-00,,Houston Texans,42,36,31,607,344,263,2,25,412,320,92,,33.45,-22.14,-5.31
7,Sun,25-Oct,1:00PM ET,boxscore,L,,1-May,,Pittsburgh Steelers,24,27,15,292,210,82,,23,362,268,94,3,6.99,-6.7,-3.88
8,Sun,1-Nov,1:00PM ET,boxscore,L,,2-May,@,Cincinnati Bengals,20,31,27,441,223,218,1,27,367,249,118,,19.91,-23.57,-5.56
9,Sun,8-Nov,1:00PM ET,boxscore,W,,2-Jun,,Chicago Bears,24,17,11,228,136,92,,22,375,319,56,2,-3.34,12.79,-1.5
10,Thu,12-Nov,8:20PM ET,boxscore,L,,3-Jun,,Indianapolis Colts,17,34,25,294,137,157,,26,430,297,133,,9.37,-17.58,-6.81
11,Sun,22-Nov,1:00PM ET,boxscore,W,OT,3-Jul,@,Baltimore Ravens,30,24,26,423,250,173,1,21,306,177,129,1,13.91,-7.48,0.86
12,Sun,29-Nov,1:00PM ET,boxscore,W,,3-Aug,@,Indianapolis Colts,45,26,28,449,220,229,,27,336,280,56,1,23.98,-6.68,6.58
13,Sun,6-Dec,1:00PM ET,boxscore,L,,4-Aug,,Cleveland Browns,35,41,25,431,369,62,3,26,458,340,118,1,9.59,-16.85,-1.78
14,Sun,13-Dec,1:00PM ET,boxscore,W,,4-Sep,@,Jacksonville Jaguars,31,10,25,454,205,249,1,20,354,263,91,1,16.06,3,-0.34
15,Sun,20-Dec,1:00PM ET,boxscore,W,,4-Oct,,Detroit Lions,46,25,28,463,268,195,,27,430,307,123,3,33.75,-12.36,-2.3
16,Sun,27-Dec,8:20PM ET,boxscore,L,,5-Oct,@,Green Bay Packers,14,40,15,260,104,156,2,27,448,214,234,1,-3.08,-25.88,4.92
17,Sun,3-Jan,4:25PM ET,boxscore,W,,5-Nov,@,Houston Texans,41,38,28,492,204,288,1,26,457,361,96,1,25.43,-17.33,-4.17
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sun,10-Jan,1:05PM ET,boxscore,L,,6-Nov,,Baltimore Ravens,13,20,12,209,158,51,1,22,401,165,236,1,-2.51,-10.95,2.13
