,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
,,,,,,,,,,,,,,,,,,,,,,,,
1,Sun,13-Sep,4:25PM ET,boxscore,W,,Jan-00,@,San Francisco 49ers,24,20,29,404,224,180,1,18,366,243,123,,6.46,-3.88,-0.46
2,Sun,20-Sep,4:05PM ET,boxscore,W,,Feb-00,,Washington Football Team,30,15,22,438,278,160,1,19,316,199,117,2,8.92,0.18,6.91
3,Sun,27-Sep,4:25PM ET,boxscore,L,,1-Feb,,Detroit Lions,23,26,28,377,268,109,3,22,322,232,90,,8.07,-8.15,-2.46
4,Sun,4-Oct,1:00PM ET,boxscore,L,,2-Feb,@,Carolina Panthers,21,31,21,262,133,129,1,30,444,276,168,1,8.53,-23.36,3.47
5,Sun,11-Oct,1:00PM ET,boxscore,W,,2-Mar,@,New York Jets,30,10,28,496,369,127,1,21,285,162,123,,17.2,4.27,-3.61
6,Mon,19-Oct,8:15PM ET,boxscore,W,,2-Apr,@,Dallas Cowboys,38,10,22,438,177,261,,27,344,247,97,4,23.56,3.91,-0.53
7,Sun,25-Oct,8:20PM ET,boxscore,W,OT,2-May,,Seattle Seahawks,37,34,31,519,360,159,2,33,572,372,200,3,13.97,-11.75,0.78
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,8-Nov,4:25PM ET,boxscore,L,,3-May,,Miami Dolphins,31,34,26,442,264,178,1,24,312,221,91,,17.94,-15.28,-6.36
10,Sun,15-Nov,4:05PM ET,boxscore,W,,3-Jun,,Buffalo Bills,32,30,26,453,236,217,2,22,369,296,73,2,8.17,-3.67,-4.77
11,Thu,19-Nov,8:20PM ET,boxscore,L,,4-Jun,@,Seattle Seahawks,21,28,24,314,257,57,,22,347,182,165,,8.96,-16.03,-0.39
12,Sun,29-Nov,1:00PM ET,boxscore,L,,5-Jun,@,New England Patriots,17,20,23,298,160,138,1,16,179,69,110,2,0,4.68,-9.06
13,Sun,6-Dec,4:05PM ET,boxscore,L,,6-Jun,,Los Angeles Rams,28,38,18,232,140,92,2,30,463,344,119,1,-0.6,-18.92,6.43
14,Sun,13-Dec,1:00PM ET,boxscore,W,,6-Jul,@,New York Giants,26,7,22,390,231,159,,10,159,81,78,3,1.35,18.89,1.81
15,Sun,20-Dec,4:05PM ET,boxscore,W,,6-Aug,,Philadelphia Eagles,33,26,26,526,423,103,3,26,422,305,117,,4.72,-10.01,12.58
16,Sat,26-Dec,4:30PM ET,boxscore,L,,7-Aug,,San Francisco 49ers,12,20,20,350,230,120,2,22,398,171,227,1,-10.15,-9.69,10.68
17,Sun,3-Jan,4:25PM ET,boxscore,L,,8-Aug,@,Los Angeles Rams,7,18,15,214,166,48,1,21,333,223,110,2,-13.48,6.77,-2.44
