,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,8-Sep,4:25PM ET,boxscore,W,,Jan-00,,New York Giants,35,17,23,494,405,89,,25,470,319,151,2,26.91,-10.91,0.11
2,Sun,15-Sep,1:00PM ET,boxscore,W,,Feb-00,@,Washington Redskins,31,21,25,474,261,213,1,19,255,208,47,,23.5,-7.06,-3.71
3,Sun,22-Sep,1:00PM ET,boxscore,W,,Mar-00,,Miami Dolphins,31,6,28,476,241,235,1,17,283,211,72,1,19.62,14,-6.19
4,Sun,29-Sep,8:20PM ET,boxscore,L,,1-Mar,@,New Orleans Saints,10,12,15,257,212,45,3,18,266,149,117,1,1.46,1.84,-0.65
5,Sun,6-Oct,4:25PM ET,boxscore,L,,2-Mar,,Green Bay Packers,24,34,32,563,441,122,3,24,335,215,120,,12.8,-9.21,-10.99
6,Sun,13-Oct,4:25PM ET,boxscore,L,,3-Mar,@,New York Jets,22,24,26,399,270,129,,20,382,326,56,1,11.13,-10.83,-3.11
7,Sun,20-Oct,8:20PM ET,boxscore,W,,3-Apr,,Philadelphia Eagles,37,10,23,402,213,189,1,16,283,168,115,4,15.32,10.92,-0.53
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Mon,4-Nov,8:15PM ET,boxscore,W,,3-May,@,New York Giants,37,18,24,429,257,172,2,20,271,171,100,3,10.68,12.66,-5.61
10,Sun,10-Nov,8:20PM ET,boxscore,L,,4-May,,Minnesota Vikings,24,28,24,443,393,50,1,27,364,211,153,,18.62,-18.73,-2.89
11,Sun,17-Nov,1:00PM ET,boxscore,W,,4-Jun,@,Detroit Lions,35,27,26,509,434,75,1,19,312,191,121,,22.23,-7.7,-6.35
12,Sun,24-Nov,4:25PM ET,boxscore,L,,5-Jun,@,New England Patriots,9,13,16,321,212,109,1,17,282,181,101,,-7.56,7.59,-4.62
13,Thu,28-Nov,4:30PM ET,boxscore,L,,6-Jun,,Buffalo Bills,15,26,32,426,323,103,2,22,356,232,124,,7.13,-17.02,-5.01
14,Thu,5-Dec,8:20PM ET,boxscore,L,,7-Jun,@,Chicago Bears,24,31,22,408,326,82,,24,382,231,151,2,10.67,-10.48,-8.71
15,Sun,15-Dec,4:25PM ET,boxscore,W,,7-Jul,,Los Angeles Rams,44,21,25,475,212,263,,23,289,267,22,1,26.77,3.54,-5.18
16,Sun,22-Dec,4:25PM ET,boxscore,L,,8-Jul,@,Philadelphia Eagles,9,17,16,311,257,54,1,23,431,313,118,,-6.26,-8.73,3.16
17,Sun,29-Dec,4:25PM ET,boxscore,W,,8-Aug,,Washington Redskins,47,16,22,517,294,223,1,13,271,183,88,2,17.75,18.31,-5.03
